	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
20	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	syntactic	[0.66 0.67 0.64 0.69 0.87 0.51 0.65 0.72]	"[0.34000001 0.33000001 0.36000001 0.31000001 0.13000001 0.49000001
 0.35000001 0.28000001]"	"[0.13127413 0.12741313 0.13899614 0.11969112 0.05019305 0.18918919
 0.13513513 0.10810811]"	jensen-shannon	0.49995548423033837	0.5276870282723358
21	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	inventory	[0.5689 0.4997 0.4938 0.4195 0.5285 0.4485 0.5478 0.6552]	"[0.43110001 0.50030001 0.50620001 0.58050001 0.47150001 0.55150001
 0.45220001 0.34480001]"	"[0.1123212  0.13035095 0.13188817 0.15124671 0.12284724 0.14369089
 0.11781871 0.08983612]"	jensen-shannon	0.4947785045382756	0.5276870282723358
22	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.563299057219969	0.5276870282723358
23	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	featural	[0.6 0.6 0.6 0.6 0.7 0.5 0.6 0.7]	"[0.40000001 0.40000001 0.40000001 0.40000001 0.30000001 0.50000001
 0.40000001 0.30000001]"	"[0.12903226 0.12903226 0.12903226 0.12903226 0.09677419 0.16129032
 0.12903226 0.09677419]"	jensen-shannon	0.5044728716922923	0.5276870282723358
24	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	jensen-shannon	0.6839913139798048	0.6839913139798048
25	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	geographic	[0.4 0.4 0.5 0.3 0.  0.4 0.2 1. ]	"[6.00000010e-01 6.00000010e-01 5.00000010e-01 7.00000010e-01
 1.00000001e+00 6.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.25000000e-01 1.25000000e-01 1.04166667e-01 1.45833333e-01
 2.08333332e-01 1.25000000e-01 1.66666666e-01 2.08333330e-09]"	jensen-shannon	0.6677091752089402	0.6839913139798048
26	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	syntactic	[0.56 0.62 0.69 0.7  0.4  0.67 0.56 0.57]	"[0.44000001 0.38000001 0.31000001 0.30000001 0.60000001 0.33000001
 0.44000001 0.43000001]"	"[0.13622291 0.11764706 0.09597523 0.09287926 0.18575851 0.10216718
 0.13622291 0.13312693]"	jensen-shannon	0.7114737513456628	0.6839913139798048
27	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	inventory	[0.5227 0.4866 0.4804 0.4569 0.5204 0.5696 0.6511 0.6737]	"[0.47730001 0.51340001 0.51960001 0.54310001 0.47960001 0.43040001
 0.34890001 0.32630001]"	"[0.13117683 0.14109822 0.14280218 0.1492607  0.13180894 0.11828725
 0.09588853 0.08967735]"	jensen-shannon	0.6651156653812815	0.6839913139798048
28	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	phonological	[0.4934 0.4638 0.5804 0.4638 0.6875 0.5702 0.5    0.641 ]	"[0.50660001 0.53620001 0.41960001 0.53620001 0.31250001 0.42980001
 0.50000001 0.35900001]"	"[0.14072613 0.14894858 0.11655879 0.14894858 0.08680797 0.11939221
 0.13889275 0.09972499]"	jensen-shannon	0.6652214331182239	0.6839913139798048
29	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	featural	[0.5 0.5 0.6 0.6 0.5 0.6 0.6 0.6]	"[0.50000001 0.50000001 0.40000001 0.40000001 0.50000001 0.40000001
 0.40000001 0.40000001]"	"[0.14285714 0.14285714 0.11428571 0.11428571 0.14285714 0.11428571
 0.11428571 0.11428571]"	jensen-shannon	0.6927806742937447	0.6839913139798048
30	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	jensen-shannon	0.6555757747387633	0.6555757747387633
